USER,TS ,X,Y
9994,11:54:43,91,42
9998,10:37:44,54,38
9998,10:37:16,9,27
9999,11:56:34,62,77
9990,11:30:57,57,63
9989,10:38:13,100,45
9991,10:48:32,51,0
9992,11:51:37,50,19
9990,10:44:37,63,2
9998,10:30:22,55,2
9999,11:35:46,35,17
9992,11:47:54,28,46
9993,11:54:46,12,48
9997,11:53:39,1,89
9989,11:52:40,91,11
9998,11:42:18,15,97
9992,11:31:40,93,43
9995,11:39:24,59,36
9990,10:34:10,4,86
9989,10:41:34,15,82
9994,11:47:33,68,25
9998,10:56:36,36,23
9999,11:42:38,1,17
9991,11:30:56,39,55
9999,10:34:38,69,39
9989,10:51:39,25,45
9991,11:55:55,41,99
9996,11:32:48,12,27
9992,10:45:58,14,60
9998,11:54:58,3,49
9999,10:36:20,25,26
9994,10:58:32,9,13
9999,10:32:59,27,87
9990,11:51:16,63,33
9996,10:39:36,16,58
9989,10:48:51,18,65
9989,11:39:36,75,6
9999,10:52:20,28,88
9999,10:44:35,12,47
9999,10:53:13,77,15
9991,10:31:26,3,53
9989,11:52:57,4,43
9992,10:42:35,69,29
9999,10:57:50,53,8
9994,10:57:23,57,57
9999,10:59:49,46,50
9990,10:54:22,6,15
9994,10:36:58,30,14
9998,10:40:37,23,2
9991,10:52:35,21,99
9993,10:54:50,78,70
9992,10:55:45,33,41
9992,11:41:33,12,19
9992,11:48:40,55,23
9992,10:40:40,76,98
9989,11:43:26,95,63
9992,10:32:11,88,71
9996,10:33:46,56,7
9995,10:54:29,72,11
9996,10:54:19,5,84
9995,10:37:33,93,3
9999,11:47:11,8,28
9989,10:45:46,23,73
9997,11:44:13,57,81
9993,11:33:50,38,84
9998,11:55:11,42,1
9999,10:45:45,90,49
9999,11:31:43,50,47
9995,11:48:29,74,88
9995,11:41:22,3,97
9995,10:54:18,13,60
9999,10:53:17,75,7
9992,11:55:53,96,73
9989,10:48:15,10,97
9999,10:48:45,16,92
9996,10:44:20,0,96
9992,11:55:44,79,62
9992,10:50:10,40,78
9995,11:54:10,51,40
9997,11:54:56,20,94
9991,11:43:49,19,21
9998,11:45:37,99,38
9997,11:51:24,90,4
9993,10:34:11,36,6
9999,10:52:33,6,32
9994,10:46:26,11,44
9998,10:37:56,12,77
9999,10:39:30,81,42
9994,10:34:13,19,100
9991,11:36:50,78,83
9996,11:48:27,54,73
9997,10:38:25,9,46
9999,10:55:34,83,23
9996,11:49:58,68,22
9996,10:39:35,18,29
9998,11:36:49,49,26
9993,10:54:40,83,48
9993,11:46:28,79,50
9991,11:49:14,35,75
9992,11:59:53,94,75
9999,10:36:39,15,18
9998,11:39:27,8,83
9995,10:43:44,65,100
9994,11:54:58,63,42
9995,11:43:28,88,28
9989,10:54:58,9,83
9997,11:36:38,74,79
9996,11:44:59,77,8
9990,10:30:58,39,30
9994,10:51:14,12,6
9992,10:55:33,16,53
9990,10:31:56,89,7
9998,10:31:32,21,58
9990,11:34:41,29,58
9989,11:47:51,37,28
9994,11:51:33,49,42
9990,10:45:44,48,98
9992,11:57:45,37,17
9989,11:31:28,27,51
9994,10:46:30,44,24
9996,10:33:44,30,59
9996,10:52:28,76,24
9991,10:57:42,100,76
9997,10:51:30,36,4
9999,10:40:56,0,81
9990,10:50:56,52,47
9995,11:35:55,14,55
9989,11:46:32,22,84
9995,10:48:45,8,45
9989,11:30:44,73,43
9993,11:40:23,32,54
9993,10:37:54,52,64
9997,11:47:42,47,92
9994,10:49:17,9,84
9999,10:33:20,46,99
9999,10:35:50,92,4
9992,10:41:59,56,34
9999,10:52:17,78,67
9994,11:49:13,95,54
9997,10:48:37,53,42
9993,11:57:34,96,63
9994,10:40:31,27,78
9992,10:42:12,72,80
9998,11:41:50,62,95
9991,10:42:56,34,98
9994,10:53:20,72,25
9999,10:30:43,79,26
9992,10:48:38,22,60
9998,11:38:13,6,20
9998,10:51:21,57,48
9995,10:32:28,56,83
9997,11:54:28,38,45
9999,10:38:21,75,79
9993,10:59:52,43,32
9990,10:33:51,59,80
9996,10:41:18,38,90
9994,10:43:16,44,59
9995,11:31:18,87,55
9995,11:51:34,100,4
9996,10:33:33,70,39
9993,10:42:42,16,72
9999,11:45:25,54,52
9992,10:58:23,72,7
9992,11:57:42,99,29
9994,10:44:11,97,82
9996,11:44:50,1,48
9993,10:31:59,98,94
9992,10:40:25,2,32
9998,11:44:11,23,52
9993,10:48:37,100,13
9989,11:39:46,92,77
9994,10:30:49,43,23
9993,10:35:20,70,48
9993,11:44:15,39,44
9991,10:53:40,12,69
9995,10:56:51,93,45
9999,11:38:47,76,82
9990,11:47:56,99,93
9996,11:56:28,54,34
9990,10:48:31,59,82
9998,11:37:59,67,90
9991,10:53:39,17,8
9989,11:55:37,4,28
9990,11:57:52,89,43
9990,10:39:39,38,24
9996,10:57:39,1,42
9989,11:42:52,95,38
9991,11:40:50,77,25
9996,10:40:29,63,9
9993,10:34:31,73,49
9993,10:33:14,65,54
9997,11:44:50,81,25
9991,10:57:57,33,86
9999,11:54:27,19,69
9999,11:39:11,94,99
9989,11:55:36,88,81
9989,10:33:37,42,84
9995,11:56:51,3,73
9996,10:41:10,84,56
9993,10:46:22,93,20
9995,11:50:19,31,92
9996,10:41:17,50,12
9994,10:37:19,84,18
9999,10:50:21,23,97
9995,10:40:14,56,21
9996,11:30:57,70,74
9991,10:31:22,69,32
9999,10:42:19,3,31
9999,11:57:11,48,10
9996,10:36:21,41,96
9994,10:40:47,97,15
9997,10:57:42,91,23
9991,10:48:19,16,46
9990,11:44:33,56,52
9993,10:58:50,66,43
9994,11:31:15,67,90
9999,10:40:21,71,82
9997,10:35:29,31,72
9991,10:52:27,67,33
9997,10:41:10,7,47
9995,11:58:26,19,58
9999,10:45:38,16,54
9993,11:48:35,27,95
9990,10:32:35,14,35
9999,10:54:28,10,88
9997,10:58:36,51,77
9991,11:31:47,79,33
9990,10:43:17,16,84
9994,11:55:54,59,61
9993,10:58:22,4,67
9989,11:42:15,85,5
9998,10:42:39,54,33
9989,11:34:11,53,7
9989,10:45:58,40,7
9994,11:39:27,52,77
9998,11:59:55,75,71
9994,11:55:52,94,59
9999,11:57:23,58,42
9998,10:49:57,66,59
9997,10:47:27,6,80
9998,11:35:13,31,76
9992,10:35:36,63,18
9990,10:43:15,74,56
9995,11:54:49,95,68
9993,11:34:55,45,35
9998,11:40:53,64,38
9990,11:57:22,88,6
9999,11:50:17,54,3
9989,10:52:30,57,66
9998,11:38:41,41,83
9998,11:45:16,18,43
9995,11:45:17,83,35
9992,10:37:26,81,75
9993,11:40:22,14,73
9991,11:33:15,86,38
9990,11:51:40,64,97
9989,11:49:47,87,22
9993,11:30:38,75,76
9990,11:46:27,18,48
9993,11:47:56,33,60
9990,10:50:44,55,71
9992,11:36:52,62,18
9994,10:59:53,88,25
9992,11:39:34,55,67
9999,10:38:12,39,96
9990,11:30:28,17,95
9998,10:37:18,70,53
9989,10:50:43,70,57
9996,10:55:56,69,29
9990,11:45:55,19,8
9991,10:53:30,97,42
9996,10:38:30,5,68
9992,11:46:57,39,100
9989,10:55:57,77,37
9990,11:53:46,81,96
9997,11:42:18,52,55
9999,11:58:58,58,47
9998,11:34:20,35,18
9996,11:41:21,46,100
9993,10:54:16,73,8
9997,10:54:14,54,30
9996,11:46:58,94,85
9997,10:48:23,34,23
9996,11:36:51,24,56
9991,11:34:28,5,77
9998,10:31:19,44,23
9991,10:46:15,4,64
9998,10:59:21,72,69
9991,10:45:35,8,33
9992,10:55:42,45,61
9996,10:37:56,96,40
9996,10:45:13,3,22
9997,11:36:44,32,42
9989,11:51:32,84,3
9993,11:51:39,37,82
9995,11:41:48,27,29
9997,11:41:41,5,32
9996,10:30:22,12,70
9990,10:55:25,69,17
9996,10:43:26,94,32
9993,11:55:40,73,15
9996,10:38:52,7,75
9990,11:40:45,34,55
9996,10:30:54,99,76
9989,10:38:40,88,77
9995,10:52:18,98,19
9993,11:38:46,88,38
9993,11:35:40,28,32
9989,11:43:57,81,82
9994,10:55:49,46,24
9998,10:31:20,97,58
9995,10:37:26,56,80
9991,11:32:44,70,46
9992,11:35:16,87,34
9993,10:59:38,78,21
9993,10:50:22,23,68
9990,10:36:30,22,62
9990,11:50:30,10,4
9993,10:53:38,63,14
9995,11:44:44,67,61
9996,10:58:49,43,37
9996,10:47:14,0,67
9989,11:51:52,41,100
9989,11:50:10,67,4
9992,11:49:27,58,65
9998,11:39:32,36,19
9993,11:31:19,19,77
9989,11:37:51,100,66
9996,10:50:24,60,41
9996,10:56:38,44,61
9999,10:38:22,26,45
9996,10:32:57,25,12
9992,11:54:55,32,39
9994,10:34:25,78,83
9992,10:51:27,56,34
9991,10:39:21,75,86
9991,10:34:47,54,30
9997,11:42:39,43,80
9990,10:59:55,92,45
9990,11:40:36,60,95
9992,11:59:45,96,100
9996,11:40:45,43,90
9991,10:43:41,64,63
9991,11:36:14,35,47
9996,11:43:29,88,32
9993,10:32:54,94,10
9995,10:56:40,78,81
9996,10:37:52,25,97
9998,10:44:48,89,56
9995,10:46:53,79,79
9998,10:32:30,30,31
9995,10:35:50,72,30
9998,11:42:34,72,55
9995,10:31:34,44,69
9994,11:52:25,14,30
9992,11:53:56,26,97
9991,11:47:22,12,15
9998,11:49:52,5,27
9993,10:46:19,75,19
9995,11:31:10,6,44
9993,11:36:14,7,43
9992,10:53:43,17,8
9991,10:59:24,58,75
9993,10:39:40,3,58
9995,10:35:51,71,99
9991,11:59:45,64,15
9989,10:49:32,84,39
9995,10:44:12,18,89
9989,11:32:45,87,86
9997,10:55:53,86,27
9998,10:39:26,76,96
9997,11:54:23,53,20
9991,10:31:18,5,33
9996,11:38:40,29,32
9994,11:57:26,73,58
9989,11:34:58,14,30
9998,10:52:11,36,35
9990,10:33:41,73,91
9991,11:33:57,0,47
9997,11:50:35,92,97
9999,10:30:36,21,5
9992,10:36:20,0,52
9996,11:35:27,49,2
9996,11:37:25,9,39
9998,11:40:36,82,36
9990,11:35:50,27,34
9992,10:32:49,72,55
9998,10:57:53,60,40
9990,10:59:43,41,66
9997,10:43:59,31,2
9993,11:40:46,86,19
9994,10:40:14,65,95
9990,11:45:32,90,67
9998,11:50:35,80,1
9992,11:49:39,95,28
9996,11:33:55,47,13
9996,10:33:48,58,73
9994,10:47:39,18,57
9989,11:42:45,17,12
9992,10:34:35,63,7
9990,11:50:23,89,13
9995,11:31:54,31,98
9994,10:58:10,48,7
9995,11:56:58,58,67
9998,10:51:25,35,30
9992,11:31:13,61,22
9991,10:33:13,13,85
9997,11:59:54,56,63
9992,11:43:12,13,38
9995,11:54:55,50,83
9997,10:30:19,40,63
9999,11:56:47,49,74
9990,11:43:56,42,12
9996,10:48:44,79,62
9989,11:48:33,20,36
9994,10:33:24,78,92
9996,11:51:30,11,50
9995,11:32:25,89,43
9991,10:45:50,32,31
9999,10:36:57,61,32
9993,11:35:45,24,8
9995,11:56:38,57,100
9992,11:55:21,94,68
9990,11:58:44,62,41
9989,11:49:13,57,19
9989,11:34:31,79,66
9994,11:31:15,23,66
9992,10:52:15,75,31
9994,11:50:35,51,59
9995,10:41:22,66,96
9993,10:45:29,87,17
9991,11:32:12,71,67
9993,10:33:16,56,67
9995,11:56:37,91,17
9995,10:30:24,23,31
9991,11:56:39,28,42
9996,10:46:23,68,98
9991,10:44:51,6,17
9992,11:40:48,84,69
9991,11:31:26,55,70
9998,11:54:54,84,17
9995,10:55:10,13,41
9990,11:44:18,59,24
9995,11:42:57,100,30
9998,10:52:46,90,86
9996,10:37:59,19,40
9997,11:30:52,53,64
9998,11:56:37,59,100
9995,11:41:48,26,74
9994,10:38:21,95,95
9992,11:30:29,17,84
9990,11:31:15,37,44
9992,11:37:57,8,21
9993,10:48:29,22,22
9995,10:49:27,91,28
9995,11:32:37,57,42
9993,10:51:29,57,83
9995,10:54:44,70,70
9989,10:52:18,62,59
9997,11:32:52,36,55
9996,11:33:38,69,59
9999,11:35:32,31,13
9991,11:56:17,41,19
9995,11:36:29,0,59
9994,11:45:20,58,40
9999,10:53:20,62,39
9989,10:59:24,38,20
9997,11:56:50,80,19
9997,11:32:47,23,68
9992,11:46:33,29,79
9996,10:53:49,71,81
9992,11:48:28,85,96
9993,10:50:22,93,86
9995,10:47:35,84,18
9990,11:36:47,0,8
9998,10:49:54,62,0
9989,11:30:50,92,32
9992,11:49:44,40,36
9989,10:35:45,34,21
9998,10:44:31,31,56
9994,11:34:51,12,7
9995,10:50:57,42,16
9997,11:53:38,34,0
9997,10:34:49,41,29
9989,10:33:36,27,19
9997,11:58:20,50,91
9993,11:51:45,74,62
9993,10:59:21,14,34
9993,10:58:24,36,7
9997,11:37:29,3,46
9991,11:40:14,2,10
9991,10:55:38,18,100
9994,11:39:18,51,44
9992,10:32:56,10,88
9994,10:31:37,25,30
9994,10:43:26,32,21
9995,11:49:14,23,58
9998,10:46:52,70,98
9989,10:31:54,5,90
9993,10:59:50,95,94
9994,11:54:47,39,71
9996,11:39:52,61,2
9993,11:52:35,51,62
9992,11:35:44,88,16
9993,11:42:45,27,84
9999,10:50:31,35,48
9993,10:50:36,88,69
9989,11:32:17,42,87
9997,11:51:41,28,58
9990,11:48:17,81,97
9995,10:42:25,25,56
9995,11:33:51,9,9
9992,11:32:25,99,14
9993,10:46:43,88,11
9989,10:42:47,48,49
9996,11:40:46,16,95
9994,10:58:50,23,4
9995,10:53:50,13,80
9990,10:37:38,55,62
9999,11:44:24,65,37
9990,10:42:52,41,94
9990,11:47:41,25,5
9990,10:57:19,17,100
9991,10:33:17,18,88
9997,11:33:13,12,77
9997,10:48:45,36,16
9992,11:30:51,70,73
9989,11:49:50,60,87
9998,10:32:18,41,70
9989,11:33:22,22,97
9994,10:52:42,77,13
9996,11:34:23,11,14
9993,11:52:42,87,42
9991,10:58:21,79,88
9989,10:39:49,25,20
9991,11:44:56,91,50
